DATE,RTWVDAK684NMFRBDAL,RTWVDAL684NMFRBDAL,RTWVDAR684NMFRBDAL,RTWVDAZ684NMFRBDAL,RTWVDCA684NMFRBDAL,RTWVDCO684NMFRBDAL,RTWVDCT684NMFRBDAL,RTWVDDE684NMFRBDAL,RTWVDFL684NMFRBDAL,RTWVDGA684NMFRBDAL,RTWVDHI684NMFRBDAL,RTWVDIA684NMFRBDAL,RTWVDID684NMFRBDAL,RTWVDIL684NMFRBDAL,RTWVDIN684NMFRBDAL,RTWVDKS684NMFRBDAL,RTWVDKY684NMFRBDAL,RTWVDLA684NMFRBDAL,RTWVDMA684NMFRBDAL,RTWVDMD684NMFRBDAL,RTWVDME684NMFRBDAL,RTWVDMI684NMFRBDAL,RTWVDMN684NMFRBDAL,RTWVDMO684NMFRBDAL,RTWVDMS684NMFRBDAL,RTWVDMT684NMFRBDAL,RTWVDNC684NMFRBDAL,RTWVDND684NMFRBDAL,RTWVDNE684NMFRBDAL,RTWVDNH684NMFRBDAL,RTWVDNJ684NMFRBDAL,RTWVDNM684NMFRBDAL,RTWVDNV684NMFRBDAL,RTWVDNY684NMFRBDAL,RTWVDOH684NMFRBDAL,RTWVDOK684NMFRBDAL,RTWVDOR684NMFRBDAL,RTWVDPA684NMFRBDAL,RTWVDRI684NMFRBDAL,RTWVDSC684NMFRBDAL,RTWVDSD684NMFRBDAL,RTWVDTN684NMFRBDAL,RTWVDTX684NMFRBDAL,RTWVDUT684NMFRBDAL,RTWVDVA684NMFRBDAL,RTWVDVT684NMFRBDAL,RTWVDWA684NMFRBDAL,RTWVDWI684NMFRBDAL,RTWVDWV684NMFRBDAL,RTWVDWY684NMFRBDAL
1988-11-01,97.6204,97.9036,96.9370,95.8373,97.7356,99.1603,98.3872,95.9862,95.7744,98.3564,97.3628,97.1635,97.3565,97.3768,97.1090,95.4836,99.6211,98.4861,99.6508,98.1685,97.9709,95.2557,99.0604,95.5722,97.8433,99.5377,99.5556,95.4843,98.1257,98.1283,98.4210,96.3612,101.3318,99.2372,98.1458,97.0594,96.8725,96.8851,99.1566,98.0410,98.7836,97.6221,92.8678,97.8227,101.944,97.0514,97.0301,98.6078,99.4574,95.9184
1988-12-01,97.9703,97.5112,96.0212,95.1291,97.3468,98.8336,97.8674,94.6318,94.6263,97.6300,97.4644,96.4129,96.8802,96.5596,96.2463,94.8612,99.0894,98.1961,99.3256,97.3014,97.1345,93.8900,98.4737,94.6159,97.3229,99.2108,99.0079,94.2860,97.4592,97.5861,97.7475,95.6063,100.9631,98.9098,97.3297,96.1228,96.6726,96.0694,98.6170,97.3601,98.2118,96.8215,91.9055,97.2469,101.6716,95.8432,96.7476,97.7694,98.763,95.1567
1989-01-01,100.6143,99.1739,97.3095,96.3964,98.9138,101.2781,99.7259,94.7064,95.2478,99.5598,99.7140,97.8612,98.6685,97.8662,97.4368,96.2687,101.3108,99.6445,101.6778,98.9012,98.2907,94.0075,100.3218,95.6640,98.6808,100.5940,100.8620,94.5035,98.7106,99.3537,99.5063,97.3258,103.3877,101.2785,98.5953,97.2280,98.4411,97.3919,100.0574,98.4533,100.3093,98.0691,92.2816,98.8609,104.131,95.9183,98.4614,99.0421,100.9163,95.7429
1989-02-01,101.5532,99.4637,97.6346,96.8114,99.2915,101.9170,100.1574,94.4944,95.2325,99.9604,100.4170,98.1824,99.2978,98.1095,97.6638,96.6737,101.7633,99.7308,102.2303,98.8318,98.4451,93.8452,100.7427,96.0528,98.8847,100.9312,101.2882,94.4303,98.9987,99.7869,99.7733,97.7333,103.8878,101.6256,98.7693,97.3507,98.9436,97.6008,100.3984,98.4669,100.6249,98.2366,92.3405,99.2027,104.6185,95.6611,98.8829,99.2529,101.3755,95.7337
1989-03-01,103.0551,101.0957,98.7432,98.0577,100.4795,103.3859,102.0252,95.4742,101.0358,101.7557,101.8573,99.8091,100.6844,100.0630,99.0762,97.7677,103.1768,102.0596,103.6837,100.1158,99.8802,94.7269,102.4292,97.5537,99.7860,102.0510,103.1172,96.2268,100.0841,101.1152,102.0386,99.0225,105.8650,103.3096,100.2902,99.0578,100.1789,99.3274,101.5707,100.1983,101.6728,99.9289,94.6142,100.3636,105.7954,96.3373,100.1533,100.3924,102.6848,96.7536
1989-04-01,102.9790,101.7521,98.7680,97.9831,100.3999,103.4706,101.9835,96.2885,100.4079,101.5156,101.8181,100.0920,100.7001,99.9594,98.9116,98.2489,103.9986,101.3001,103.6159,100.6030,99.6418,94.5840,102.3755,97.9076,99.5397,102.0278,102.9877,96.4142,100.1600,101.0900,101.8269,99.0615,106.3230,103.2735,100.1128,98.8729,100.0105,99.1313,101.4499,99.7446,102.4994,99.7229,94.3106,100.3216,105.4872,96.2641,99.9781,100.258,102.6424,100.6221
1989-05-01,106.6551,104.1675,100.7232,99.6824,102.4307,106.6498,104.5338,96.8232,101.4253,103.9823,104.7952,102.1936,103.4736,101.8824,100.6313,100.6203,106.8088,103.8294,106.5890,103.1064,100.9799,95.0965,104.7960,100.2278,101.5863,103.9996,105.4341,97.4087,102.1820,103.4741,104.1008,101.4555,109.5200,106.0698,101.7660,100.7698,102.7367,101.0029,103.5120,101.3260,104.9146,101.5131,95.4443,102.3146,108.7443,96.6147,102.3827,102.256,105.4567,102.2667
1989-06-01,110.5101,105.8863,102.2629,101.2421,104.3070,108.9170,106.5727,97.2955,102.1125,105.7198,107.9863,103.9440,106.0509,103.4644,102.1489,102.2891,108.5450,105.5728,108.8895,104.2061,102.3294,95.7893,106.7165,101.9487,103.0217,105.9005,107.4001,98.1729,104.0137,105.3806,105.7921,103.1401,110.7263,107.8330,103.2107,102.2433,104.9473,102.4576,105.2584,102.7749,106.3768,102.8939,96.3954,104.1846,110.819,97.261,104.6619,103.7735,107.3436,102.8411
1989-07-01,108.5713,103.5859,100.3498,99.4746,102.4107,106.1218,104.1013,95.8197,100.3963,103.2779,106.4011,101.7986,104.0034,101.3472,100.1696,100.3424,105.5628,103.3281,105.9708,101.7707,100.3936,94.4798,104.2255,99.2362,100.9774,104.0375,104.8918,96.6560,102.2804,102.8468,103.3203,100.7496,107.6555,105.2931,101.0387,100.2015,103.1251,100.4016,102.7802,100.6912,103.6844,100.8466,95.3836,102.2365,107.5124,95.8272,102.5417,101.6354,104.1092,101.3233
1989-08-01,109.5181,104.1805,100.5319,99.9804,102.8130,106.9276,104.5481,95.0785,100.5971,104.3177,106.6800,101.8843,104.2981,101.5241,100.2814,101.3965,106.0637,106.0512,106.8250,104.7961,100.7398,93.9578,104.6286,99.9773,102.5996,104.0089,105.3404,96.3323,102.4003,103.1894,103.8378,101.4151,108.4899,106.3123,101.1437,100.6424,104.0850,100.9343,103.1720,101.6791,103.9513,101.2834,96.2828,102.4875,109.2089,95.0711,103.213,102.0829,104.8461,100.4831
